,BASHIR,DAMAR,DAX,DUKAT,EZRI,GARAK,JAKE,KEIKO,KIRA,MARTOK,NOG,ODO,O'BRIEN,QUARK,ROM,SISKO,WEYOUN,WINN,WORF,ZEK,lines,ep,season,title
BASHIR,0,0,4,0,0,0,0,0,13,0,0,3,5,1,0,3,0,0,0,0,17,0,1,Emissary (parts 1 & 2)
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
DAX,4,0,2,0,0,0,0,0,12,0,0,0,13,1,0,49,0,0,0,0,51,0,1,Emissary (parts 1 & 2)
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,1,Emissary (parts 1 & 2)
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,0,0,0,0,20,0,1,Emissary (parts 1 & 2)
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
KIRA,13,0,12,0,0,0,0,0,12,0,0,10,36,5,0,20,0,0,0,0,64,0,1,Emissary (parts 1 & 2)
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
NOG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,Emissary (parts 1 & 2)
ODO,3,0,0,0,0,0,0,0,10,0,0,0,1,9,0,4,0,0,0,0,18,0,1,Emissary (parts 1 & 2)
O'BRIEN,5,0,13,0,0,0,4,0,36,0,0,1,2,2,0,21,0,0,0,0,67,0,1,Emissary (parts 1 & 2)
QUARK,1,0,1,0,0,0,0,0,5,0,0,9,2,0,0,11,0,0,0,0,16,0,1,Emissary (parts 1 & 2)
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
SISKO,3,0,49,8,0,0,27,0,20,0,0,4,21,11,0,10,0,0,0,0,180,0,1,Emissary (parts 1 & 2)
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
BASHIR,2,0,2,0,0,21,0,0,3,0,0,1,4,0,0,18,0,0,0,0,31,1,1,Past Prologue
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
DAX,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,1,1,Past Prologue
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
GARAK,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,Past Prologue
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
KIRA,3,0,0,0,0,0,0,0,2,0,0,25,5,0,0,36,0,0,0,0,85,1,1,Past Prologue
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
ODO,1,0,0,0,0,0,0,0,25,0,0,2,0,0,0,27,0,0,0,0,33,1,1,Past Prologue
O'BRIEN,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,27,0,0,0,0,24,1,1,Past Prologue
QUARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
SISKO,18,0,6,0,0,0,0,0,36,0,0,27,27,0,0,8,0,0,0,0,85,1,1,Past Prologue
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
BASHIR,2,0,14,0,0,0,0,0,2,0,1,16,1,0,0,23,0,0,0,0,34,2,1,A_Man Alone
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
DAX,14,0,0,0,0,0,0,0,2,0,0,0,1,0,0,16,0,0,0,0,18,2,1,A_Man Alone
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
JAKE,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,4,0,0,0,0,9,2,1,A_Man Alone
KEIKO,0,0,0,0,0,0,3,2,1,0,0,1,19,1,19,8,0,0,0,0,32,2,1,A_Man Alone
KIRA,2,0,2,0,0,0,0,1,2,0,0,12,6,0,0,13,0,0,0,0,23,2,1,A_Man Alone
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
NOG,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,A_Man Alone
ODO,16,0,0,0,0,0,0,1,12,0,0,6,2,27,0,23,0,0,0,0,63,2,1,A_Man Alone
O'BRIEN,1,0,1,0,0,0,0,19,6,0,0,2,0,0,0,5,0,0,0,0,24,2,1,A_Man Alone
QUARK,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,18,2,1,A_Man Alone
ROM,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,1,0,0,0,0,12,2,1,A_Man Alone
SISKO,23,0,16,0,0,0,4,8,13,0,0,23,5,0,1,0,0,0,0,0,56,2,1,A_Man Alone
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
BASHIR,0,0,3,0,0,0,1,0,5,0,0,3,4,0,0,38,0,0,0,0,38,3,1,Babel
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
DAX,3,0,0,0,0,0,0,0,5,0,0,0,5,4,0,4,0,0,0,0,13,3,1,Babel
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
JAKE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,1,Babel
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
KIRA,5,0,5,0,0,0,0,0,4,0,0,4,16,4,0,24,0,0,0,0,57,3,1,Babel
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
ODO,3,0,0,0,0,0,0,0,4,0,0,6,0,45,0,25,0,0,0,0,52,3,1,Babel
O'BRIEN,4,0,5,0,0,0,0,0,16,0,0,0,2,0,0,16,0,0,0,0,27,3,1,Babel
QUARK,0,0,4,0,0,0,0,0,4,0,0,45,0,8,0,5,0,0,0,0,47,3,1,Babel
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
SISKO,38,0,4,0,0,0,3,0,24,0,0,25,16,5,0,6,0,0,0,0,73,3,1,Babel
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
BASHIR,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,1,Captive Pursuit
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
DAX,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,9,0,0,0,0,12,4,1,Captive Pursuit
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
KIRA,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,7,0,0,0,0,8,4,1,Captive Pursuit
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
ODO,0,0,1,0,0,0,0,0,4,0,0,4,12,0,0,8,0,0,0,0,26,4,1,Captive Pursuit
O'BRIEN,2,0,8,0,0,0,0,0,1,0,0,12,10,29,0,42,0,0,0,0,116,4,1,Captive Pursuit
QUARK,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,18,4,1,Captive Pursuit
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
SISKO,0,0,9,0,0,0,0,0,7,0,0,8,42,0,0,6,0,0,0,0,50,4,1,Captive Pursuit
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Captive Pursuit
BASHIR,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,22,5,1,Q-less
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
DAX,1,0,0,0,0,0,0,0,8,0,0,0,19,5,0,21,0,0,0,0,30,5,1,Q-less
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
KIRA,1,0,8,0,0,0,0,0,0,0,0,0,8,2,0,13,0,0,0,0,19,5,1,Q-less
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
ODO,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,5,1,Q-less
O'BRIEN,2,0,19,0,0,0,0,0,8,0,0,0,2,0,0,25,0,0,0,0,44,5,1,Q-less
QUARK,0,0,5,0,0,0,0,0,2,0,0,10,0,8,0,8,0,0,0,0,52,5,1,Q-less
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
SISKO,4,0,21,0,0,0,0,0,13,0,0,0,25,8,0,0,0,0,0,0,59,5,1,Q-less
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Q-less
BASHIR,2,0,12,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,32,6,1,Dax
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
DAX,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,36,6,1,Dax
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
KIRA,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,28,0,0,0,0,21,6,1,Dax
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
ODO,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,18,0,0,0,0,38,6,1,Dax
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
QUARK,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,8,6,1,Dax
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
SISKO,7,0,41,0,0,0,0,0,28,0,0,18,0,0,0,2,0,0,0,0,78,6,1,Dax
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Dax
BASHIR,2,0,15,0,0,0,0,0,5,0,0,2,0,1,0,17,0,0,0,0,58,7,1,The Passenger
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
DAX,15,0,4,0,0,0,0,0,4,0,0,1,0,4,0,33,0,0,0,0,37,7,1,The Passenger
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
KIRA,5,0,4,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,18,7,1,The Passenger
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
ODO,2,0,1,0,0,0,0,0,10,0,0,0,0,23,0,22,0,0,0,0,55,7,1,The Passenger
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
QUARK,1,0,4,0,0,0,0,0,0,0,0,23,0,4,0,5,0,0,0,0,34,7,1,The Passenger
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
SISKO,17,0,33,0,0,0,0,0,7,0,0,22,0,5,0,0,0,0,0,0,61,7,1,The Passenger
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,The Passenger
BASHIR,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,0,28,8,1,Move Along Home
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
DAX,17,0,0,0,0,0,0,0,11,0,0,0,0,1,0,21,0,0,0,0,28,8,1,Move Along Home
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
JAKE,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,10,8,1,Move Along Home
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
KIRA,17,0,11,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,26,8,1,Move Along Home
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
ODO,0,0,0,0,0,0,12,0,0,0,0,0,0,25,0,5,0,0,0,0,43,8,1,Move Along Home
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
QUARK,0,0,1,0,0,0,0,0,0,0,0,25,0,10,0,17,0,0,0,0,66,8,1,Move Along Home
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
SISKO,16,0,21,0,0,0,8,0,13,0,0,5,0,17,0,12,0,0,0,0,62,8,1,Move Along Home
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Move Along Home
BASHIR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,9,1,The Nagus
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
DAX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,7,9,1,The Nagus
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
JAKE,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,50,0,0,0,0,49,9,1,The Nagus
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
KIRA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,9,1,The Nagus
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
NOG,0,0,0,0,0,0,34,0,0,0,0,0,13,3,3,1,0,0,0,2,29,9,1,The Nagus
ODO,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3,4,0,0,0,1,20,9,1,The Nagus
O'BRIEN,1,0,0,0,0,0,3,0,0,0,13,2,2,1,0,18,0,0,0,0,21,9,1,The Nagus
QUARK,0,0,0,0,0,0,0,0,0,0,3,16,1,12,48,3,0,0,0,40,98,9,1,The Nagus
ROM,0,0,0,0,0,0,0,0,0,0,3,3,0,48,0,2,0,0,0,6,34,9,1,The Nagus
SISKO,3,0,13,0,0,0,50,0,2,0,1,4,18,3,2,0,0,0,0,0,53,9,1,The Nagus
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,The Nagus
ZEK,0,0,0,0,0,0,0,0,0,0,2,1,0,40,6,0,0,0,0,2,44,9,1,The Nagus
BASHIR,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,4,10,1,Vortex
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
DAX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,5,10,1,Vortex
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
KIRA,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,7,10,1,Vortex
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
ODO,5,0,0,0,0,0,0,0,0,0,0,8,0,29,2,12,0,0,0,0,95,10,1,Vortex
O'BRIEN,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,5,10,1,Vortex
QUARK,0,0,0,0,0,0,0,0,0,0,0,29,0,4,5,2,0,0,0,0,31,10,1,Vortex
ROM,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,6,10,1,Vortex
SISKO,0,0,8,0,0,0,0,0,8,0,0,12,6,2,0,2,0,0,0,0,28,10,1,Vortex
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
ZEK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Vortex
BASHIR,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,54,0,0,0,0,47,11,1,Battle Lines
DAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
DAX,0,0,2,0,0,0,0,0,1,0,0,3,43,0,0,5,0,0,0,0,30,11,1,Battle Lines
DUKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
EZRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
KEIKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
KIRA,15,0,1,0,0,0,0,0,2,0,0,0,0,0,0,34,0,0,0,0,42,11,1,Battle Lines
MARTOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
ODO,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,11,1,Battle Lines
O'BRIEN,0,0,43,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,43,11,1,Battle Lines
QUARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
SISKO,54,0,5,0,0,0,0,0,34,0,0,0,18,0,0,4,0,0,0,0,112,11,1,Battle Lines
WEYOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
WINN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,Battle Lines
